"ID";"Name";"OnTerritoryOfMoscow";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"FullFeaturedBPAAmount";"LittleFunctionalBPAAmount";"BPAAmount";"RepairOfEscalators";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"На территории Москвы";"Административный округ";"Район";"Долгота в WGS-84";"Широта в WGS-84";"Тип вестибюля";"Станция метрополитена";"Линия";"Статус объекта культурного наследия";"Режим работы по чётным дням";"Режим работы по нечётным дням";"Количество полнофункциональных БПА (все типы билетов)";"Количество малофункциональных БПА (билеты на 1 и 2 поездки)";"Общее количество БПА";"Ремонт эскалаторов";"Статус объекта";"global_id";"geoData";"geodata_center";
"1278";"Савёловская, вход-выход 3 в вестибюль 2";"да";"Северо-Восточный административный округ";"Бутырский район";"37.58980924";"55.79405188";"подземный";"Савёловская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:51:00; последний поезд по 1 пути в 02:01:00 , по 2 пути в 01:48:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:51:00 , по 2 пути в 01:54:00";"";"4";"4";"nested data";"действует";"2369706256";"{coordinates=[37.58980924, 55.79405188], type=Point}";"{coordinates=[37.58980924, 55.79405188], type=Point}";
"1279";"Савёловская, вход-выход 4 в вестибюль 2";"да";"Северо-Восточный административный округ";"район Марьина Роща";"37.59027058";"55.79399446";"подземный";"Савёловская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:51:00; последний поезд по 1 пути в 02:01:00 , по 2 пути в 01:48:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:51:00 , по 2 пути в 01:54:00";"";"4";"4";"nested data";"действует";"2369706271";"{coordinates=[37.59027058, 55.79399446], type=Point}";"{coordinates=[37.59027058, 55.79399446], type=Point}";
"1280";"Савёловская, вход-выход 5 в вестибюль 2";"да";"Северо-Восточный административный округ";"район Марьина Роща";"37.59005819";"55.79358111";"подземный";"Савёловская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:51:00; последний поезд по 1 пути в 02:01:00 , по 2 пути в 01:48:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:51:00; последний поезд по 1 пути в 02:01:00 , по 2 пути в 01:48:00";"";"4";"4";"nested data";"действует";"2369740731";"{coordinates=[37.59005819, 55.79358111], type=Point}";"{coordinates=[37.59005819, 55.79358111], type=Point}";
"1281";"Савёловская, вход-выход 2 в вестибюль";"да";"Северо-Восточный административный округ";"Бутырский район";"37.58884900";"55.79426947";"подземный";"Савёловская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 05:39:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:20:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 05:39:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:20:00";"";"4";"4";"nested data";"действует";"2369740732";"{coordinates=[37.588849, 55.79426947], type=Point}";"{coordinates=[37.588849, 55.79426947], type=Point}";
"1282";"Локомотив, вход-выход 6 в северный вестибюль";"да";"Восточный административный округ";"район Преображенское";"37.74555948";"55.80554896";"наземный отдельностоящий";"Локомотив";"Московское центральное кольцо";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути 05:48:00; последний поезд по 1 пути в 23:32:00, по 2 пути в 23:16:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути 05:48:00; последний поезд по 1 пути в 23:32:00, по 2 пути в 23:16:00";"";"2";"2";"nested data";"действует";"2382340122";"{coordinates=[37.74555948, 55.80554896], type=Point}";"{coordinates=[37.74555948, 55.80554896], type=Point}";
"1283";"Тверская, вход-выход 2 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.60405014";"55.76566343";"подземный";"Тверская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"4";"2";"6";"nested data";"действует";"2382343273";"{coordinates=[37.60405014, 55.76566343], type=Point}";"{coordinates=[37.60405014, 55.76566343], type=Point}";
"1284";"Тверская, вход-выход 3 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.60398577";"55.76528236";"подземный";"Тверская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"4";"2";"6";"nested data";"действует";"2382344244";"{coordinates=[37.60398577, 55.76528236], type=Point}";"{coordinates=[37.60398577, 55.76528236], type=Point}";
"1285";"Тверская, вход-выход 5 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.60496209";"55.76530353";"подземный";"Тверская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"4";"2";"6";"nested data";"действует";"2382344419";"{coordinates=[37.60496209, 55.76530353], type=Point}";"{coordinates=[37.60496209, 55.76530353], type=Point}";
"1286";"Тверская, вход-выход 7 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.60625492";"55.76484987";"подземный";"Тверская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"4";"2";"6";"nested data";"действует";"2382344544";"{coordinates=[37.60625492, 55.76484987], type=Point}";"{coordinates=[37.60625492, 55.76484987], type=Point}";
"1287";"Тверская, вход-выход 9 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.60572920";"55.76435991";"подземный";"Тверская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:42:00, по 2 пути в 01:27:00";"4";"2";"6";"nested data";"действует";"2382344856";"{coordinates=[37.6057292, 55.76435991], type=Point}";"{coordinates=[37.6057292, 55.76435991], type=Point}";
