"ID";"Name";"Station";"RailwayLine";"WorkingHours";"Latitude_WGS84";"Longitude_WGS84";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"Станция радиального железнодорожного направления";"Радиальное железнодорожное направление";"Режим работы";"Широта в WGS-84";"Долгота в WGS-84";"Статус объекта";"global_id";"geoData";"geodata_center";
"499";"Авиамоторная (проход 3)";"Авиамоторная";"Казанское";"05:30-01:00";"55.751047";"37.720389";"действует";"2611912371";"{coordinates=[37.720389, 55.751047], type=Point}";"";
"500";"Перово (проход 2)";"Перово";"Казанское";"05:30-01:00";"55.736677";"37.763026";"действует";"2611912592";"{coordinates=[37.763026, 55.736677], type=Point}";"";
"501";"Перово (проход 3)";"Перово";"Казанское";"05:30-01:00";"55.737317";"37.764295";"действует";"2611912692";"{coordinates=[37.764295, 55.737317], type=Point}";"";
"502";"Перово (проход 4)";"Перово";"Казанское";"05:30-01:00";"55.735856";"37.763480";"действует";"2611912881";"{coordinates=[37.76348, 55.735856], type=Point}";"";
"503";"Плющево (проход 4)";"Плющево";"Казанское";"05:30-01:00";"55.730863";"37.773794";"действует";"2612977793";"{coordinates=[37.773794, 55.730863], type=Point}";"";
"504";"Кутузовская (проход 6)";"Кутузовская";"Горьковское";"05:30-01:00";"55.740946";"37.533579";"действует";"2616729200";"{coordinates=[37.533579, 55.740946], type=Point}";"";
"505";"Москва-Сити (проход 4)";"Москва-Сити";"Горьковское";"05:30-01:00";"55.748002";"37.532927";"действует";"2616733322";"{coordinates=[37.532927, 55.748002], type=Point}";"";
"506";"Белорусская (проход 1) (Б)";"Белорусская";"Горьковское";"05:30-01:00";"55.776541";"37.581890";"действует";"2616733769";"{coordinates=[37.58189, 55.776541], type=Point}";"";
"507";"Савёловская (проход 4)";"Савёловская";"Горьковское";"05:30-01:00";"55.794388";"37.590345";"действует";"2616733962";"{coordinates=[37.590345, 55.794388], type=Point}";"";
"508";"Савёловская (проход 3)";"Савёловская";"Горьковское";"05:30-01:00";"55.794038";"37.590014";"действует";"2616734068";"{coordinates=[37.590014, 55.794038], type=Point}";"";
"148";"Площадь трёх вокзалов (проход 2)";"Площадь трёх вокзалов";"Курское";"05:30-01:00";"55.774953";"37.652310";"действует";"2616735032";"{coordinates=[37.65231, 55.774953], type=Point}";"";
"509";"Белорусская (проход 2) (Б)";"Белорусская";"Горьковское";"05:30-01:00";"55.776874";"37.581719";"действует";"2616928424";"{coordinates=[37.581719, 55.776874], type=Point}";"";
"510";"Марьина Роща (проход 1А)";"Марьина Роща";"Горьковское";"05:30-01:00";"55.801138";"37.618563";"действует";"2616945180";"{coordinates=[37.618563, 55.801138], type=Point}";"";
