"Location";"ID";"Taxi";"LengthKM";"DateOfEntry";"OrderNumber";"DateOfOrder";"LaneCoordinates";"LanePhoto";"global_id";"geoData";"geodata_center";
"Местоположение";"Код";"Проезд такси";"Протяженность (км)";"Дата ввода";"Номер приказа";"Дата приказа";"Координаты выделенной полосы";"Фотографии выделенной полосы";"global_id";"geoData";"geodata_center";
"улица Новая Башиловка, Беговой тоннель, улица Беговая";"819757";"Запрещено";"0.6";"28.12.2020";"60-02-680";"25.12.2020";"55.7868866039,37.5674500419; 55.7828985591,37.5619400510";"nested data";"1133032098";"{coordinates=[[[37.563478947, 55.783952059], [37.567631006, 55.786923191], [37.567641735, 55.78695637]]], type=MultiLineString}";"";
"16-я Парковая улица";"819758";"Запрещено";"0.6";"28.12.2020";"60-02-680";"25.12.2020";"55.8075316022,37.8295793777; 55.8085750427,37.8294835227; 55.8091761588,37.8294841365; 55.8095246425,37.8295036969; 55.8097495247,37.8294925262; 55.8105014513,37.8294177543; 55.8107608641,37.8294147524; 55.8112629706,37.8294052186; 55.8117612697,37.8293758122; 55.8120812226,37.8293650833; 55.8127989730,37.8292868008";"nested data";"1133032100";"{coordinates=[[[37.829579378, 55.807531602], [37.829483523, 55.808575043], [37.829484136, 55.809176159], [37.829532623, 55.809525782], [37.829521894, 55.809742827], [37.829489708, 55.810011116], [37.829417754, 55.810501451], [37.829414752, 55.810760864], [37.829405219, 55.811262971], [37.829331458, 55.811750429], [37.829301953, 55.812068441], [37.829301953, 55.812069948], [37.829286801, 55.812798973]]], type=MultiLineString}";"";
"3-й Крутицкий переулок";"819760";"Запрещено";"0.2";"23.11.2020";"61-02-532";"06.11.2020";"55.7322425831,37.6658821076; 55.7321289139,37.6656775388; 55.7320061507,37.6654191362; 55.7319537991,37.6652860259; 55.7317576878,37.6647493624; 55.7315705672,37.6640962295; 55.7314244605,37.6634784165; 55.7311893311,37.6624291224";"nested data";"1133032103";"{coordinates=[[[37.665874958, 55.732253948], [37.665419136, 55.732006151], [37.665286026, 55.731953799], [37.664710879, 55.731761227], [37.66409623, 55.731570567], [37.663478416, 55.731424461], [37.662429122, 55.731189331]]], type=MultiLineString}";"";
"Рижская площадь";"819761";"Запрещено";"0.2";"23.11.2020";"61-02-532";"06.11.2020";"55.7941355015,37.6342860318; 55.7929945274,37.6343701022; 55.7920026340,37.6344919252";"nested data";"1133032104";"{coordinates=[[[37.634286032, 55.794135501], [37.634418011, 55.793005764], [37.63442874, 55.792832355], [37.63451457, 55.792012048]]], type=MultiLineString}";"";
"Полярная улица";"819762";"Запрещено";"0.2";"28.12.2020";"61-02-532";"25.12.2020";"55.8731399532,37.6377751464; 55.8712177669,37.6383812042; 55.8710981579,37.6383594530";"nested data";"1133032105";"{coordinates=[[[37.637775146, 55.873139953], [37.638355494, 55.871211419], [37.638390362, 55.871097801]]], type=MultiLineString}";"";
"улица Нижняя Масловка";"819763";"Запрещено";"0.2";"06.11.2020";"61-02-532";"23.11.2020";"55.7917641830,37.5798796593; 55.7918016073,37.5807174408; 55.7918510438,37.5816563461; 55.7919513064,37.5830576044; 55.7919846296,37.5835842222";"nested data";"1133032107";"{coordinates=[[[37.579936981, 55.791705182], [37.580741644, 55.791777563], [37.581656346, 55.791851044], [37.583057604, 55.791951306], [37.583584222, 55.79198463]]], type=MultiLineString}";"";
"Каспийская улица";"819764";"Запрещено";"0.8";"06.11.2020";"61-02-532";"23.11.2020";"55.6202348628,37.6702430823; 55.6195733817,37.6691443920; 55.6192252127,37.6685718202; 55.6189796724,37.6681683910; 55.6187995177,37.6678737696; 55.6185801006,37.6675145482; 55.6183888945,37.6671735839; 55.6182066227,37.6668245394; 55.6181848077,37.6667805180; 55.6180316706,37.6664562396; 55.6179465036,37.6662717518; 55.6178303871,37.6660188807; 55.6177335562,37.6658011403; 55.6176525057,37.6656140180; 55.6176051676,37.6654966417; 55.6175008722,37.6652291850; 55.6173923919,37.6649374524; 55.6172899073,37.6646518657; 55.6171894565,37.6643595769; 55.6170637974,37.6639731657; 55.6169569999,37.6636325986; 55.6169273313,37.6635299847; 55.6167756712,37.6630173481; 55.6166671928,37.6626512740; 55.6165571829,37.6622802059; 55.6164145139,37.6618664943; 55.6163854654,37.6617821605; 55.6162643273,37.6614362429; 55.6161013866,37.6610077092; 55.6159684982,37.6606604056; 55.6158794865,37.6603953210; 55.6157431079,37.6599706367";"nested data";"1133032108";"{coordinates=[[[37.670243082, 55.620234863], [37.669144392, 55.619573382], [37.66857182, 55.619225213], [37.668168391, 55.618979672], [37.66787377, 55.618799518], [37.667579502, 55.618623346], [37.667126209, 55.618382517], [37.666722536, 55.618172738], [37.66645624, 55.618031671], [37.666271752, 55.617946504], [37.666018881, 55.617830387], [37.66590178, 55.61778877], [37.665510178, 55.61762367], [37.665141374, 55.617480533], [37.6645419, 55.617263554], [37.663812339, 55.617024232], [37.662962079, 55.616781879], [37.662021965, 55.61649749], [37.661956251, 55.616474012], [37.661528438, 55.61632254], [37.6610443, 55.616136228], [37.660596371, 55.615970364], [37.659970637, 55.615743108]]], type=MultiLineString}";"";
"Осенний бульвар";"819765";"Запрещено";"0.6";"06.11.2020";"61-02-532";"23.11.2020";"55.7594835064,37.4072696393; 55.7590177310,37.4073354640; 55.7588126458,37.4073644898; 55.7585114083,37.4074065662; 55.7582687974,37.4074415781; 55.7577884709,37.4075104810; 55.7573506069,37.4075711091; 55.7568590704,37.4076428294; 55.7565347869,37.4076895368; 55.7559713286,37.4077709786; 55.7557672927,37.4078027539; 55.7552142571,37.4078830138; 55.7544410259,37.4079862784; 55.7542229304,37.4080075454; 55.7541005405,37.4079859436; 55.7540564746,37.4079673633; 55.7539960858,37.4079419660; 55.7538512166,37.4078492599; 55.7537417359,37.4077463819; 55.7537163782,37.4077151560";"nested data";"1133032110";"{coordinates=[[[37.407269639, 55.759483506], [37.407335464, 55.759017731], [37.40736449, 55.758812646], [37.407406566, 55.758511408], [37.407441578, 55.758268797], [37.407510481, 55.757788471], [37.407571109, 55.757350607], [37.407642829, 55.75685907], [37.407689537, 55.756534787], [37.407770979, 55.755971329], [37.407802754, 55.755767293], [37.407883014, 55.755214257], [37.407986278, 55.754441026], [37.408007545, 55.75422293], [37.407967363, 55.754056475], [37.407701612, 55.753718849]]], type=MultiLineString}";"";
"улица Островитянова";"819766";"Запрещено";"0.5";"06.11.2020";"61-02-532";"23.11.2020";"55.6476739063,37.4851983920; 55.6478853457,37.4849599419; 55.6482514617,37.4844580183; 55.6485573032,37.4840739667; 55.6486125970,37.4840112141; 55.6487402270,37.4839115580; 55.6488933985,37.4838318483; 55.6490288325,37.4837979942; 55.6491149671,37.4837887241; 55.6493329710,37.4838014523; 55.6495281435,37.4838550965; 55.6495847250,37.4838867451; 55.6496766955,37.4839456317; 55.6497750471,37.4840455338; 55.6499471728,37.4842608616; 55.6501276505,37.4845631656; 55.6502745651,37.4848423784; 55.6507474433,37.4857746418; 55.6509650054,37.4861825163; 55.6514707964,37.4870262402";"nested data";"1133032111";"{coordinates=[[[37.485198392, 55.647673906], [37.484959942, 55.647885346], [37.484458018, 55.648251462], [37.484073967, 55.648557303], [37.484011214, 55.648612597], [37.483911558, 55.648740227], [37.483831848, 55.648893399], [37.483797994, 55.649028832], [37.483788724, 55.649114967], [37.483801452, 55.649332971], [37.483855097, 55.649528143], [37.483886745, 55.649584725], [37.483945632, 55.649676696], [37.484045534, 55.649775047], [37.484260862, 55.649947173], [37.484563166, 55.65012765], [37.484842378, 55.650274565], [37.485587597, 55.650747432], [37.485952377, 55.650892718], [37.486156225, 55.651004708], [37.48702624, 55.651470796]]], type=MultiLineString}";"";
